,Unnamed: 0,id,created_at,text,text_tokens,text_tokens_fdist,text_tokens_SW,text_tokens_stemmed
0,0,1587062096306372608,2022-10-31 12:41:04+00:00,puan menuntut polri transparan dalam pengusutan setiap kasus yang ditangani dia mengingatkan agar polri meningkatkan perlindungan kepada masyarakat dia juga menegaskan dpr akan terus melakukan pengawasan terhadap kinerja polri presiden perempuan,"['puan', 'menuntut', 'polri', 'transparan', 'dalam', 'pengusutan', 'setiap', 'kasus', 'yang', 'ditangani', 'dia', 'mengingatkan', 'agar', 'polri', 'meningkatkan', 'perlindungan', 'kepada', 'masyarakat', 'dia', 'juga', 'menegaskan', 'dpr', 'akan', 'terus', 'melakukan', 'pengawasan', 'terhadap', 'kinerja', 'polri', 'presiden', 'perempuan']",<FreqDist with 28 samples and 31 outcomes>,"['puan', 'menuntut', 'polri', 'transparan', 'pengusutan', 'ditangani', 'polri', 'meningkatkan', 'perlindungan', 'masyarakat', 'dpr', 'pengawasan', 'kinerja', 'polri', 'presiden', 'perempuan']","['puan', 'tuntut', 'polri', 'transparan', 'usut', 'tangan', 'polri', 'tingkat', 'lindung', 'masyarakat', 'dpr', 'awas', 'kerja', 'polri', 'presiden', 'perempuan']"
1,1,1587055787905814528,2022-10-31 12:16:00+00:00,kalo ada yg nanya knp sih  ada filmseries lokal kita yg ceritanya mengkritik kinerja polisi mingil saranin nonton seriesfilm dr india yg secara kultur deket ama kita yg emank berani banget utk tema sejenis ini salah satunya ya delhi crime ini moga masih lanjut ke season,"['kalo', 'ada', 'yg', 'nanya', 'knp', 'sih', 'ada', 'filmseries', 'lokal', 'kita', 'yg', 'ceritanya', 'mengkritik', 'kinerja', 'polisi', 'mingil', 'saranin', 'nonton', 'seriesfilm', 'dr', 'india', 'yg', 'secara', 'kultur', 'deket', 'ama', 'kita', 'yg', 'emank', 'berani', 'banget', 'utk', 'tema', 'sejenis', 'ini', 'salah', 'satunya', 'ya', 'delhi', 'crime', 'ini', 'moga', 'masih', 'lanjut', 'ke', 'season']",<FreqDist with 40 samples and 46 outcomes>,"['nanya', 'knp', 'filmseries', 'lokal', 'ceritanya', 'mengkritik', 'kinerja', 'polisi', 'mingil', 'saranin', 'nonton', 'seriesfilm', 'india', 'kultur', 'deket', 'emank', 'berani', 'banget', 'tema', 'sejenis', 'salah', 'satunya', 'delhi', 'crime', 'season']","['nanya', 'knp', 'filmseries', 'lokal', 'cerita', 'kritik', 'kerja', 'polisi', 'mingil', 'saranin', 'nonton', 'seriesfilm', 'india', 'kultur', 'deket', 'emank', 'berani', 'banget', 'tema', 'jenis', 'salah', 'satu', 'delhi', 'crime', 'season']"
2,2,1587054014721454080,2022-10-31 12:08:57+00:00,betul memang tugas polri selalu mengayomi dan melindungi masyarakat semoga kinerja polri kedepannya terus meningkat,"['betul', 'memang', 'tugas', 'polri', 'selalu', 'mengayomi', 'dan', 'melindungi', 'masyarakat', 'semoga', 'kinerja', 'polri', 'kedepannya', 'terus', 'meningkat']",<FreqDist with 14 samples and 15 outcomes>,"['tugas', 'polri', 'mengayomi', 'melindungi', 'masyarakat', 'semoga', 'kinerja', 'polri', 'kedepannya', 'meningkat']","['tugas', 'polri', 'ayom', 'lindung', 'masyarakat', 'moga', 'kerja', 'polri', 'depan', 'tingkat']"
3,3,1587042748162793473,2022-10-31 11:24:11+00:00,kenaikan pangkat pengabdian bukan merupakan keharusan namun merupakan hasil penilaian dan prestasi serta kinerja personil itu sendiri yang telah dengan sungguhsungguh mengabdikan dirinya kepada insitusi polri,"['kenaikan', 'pangkat', 'pengabdian', 'bukan', 'merupakan', 'keharusan', 'namun', 'merupakan', 'hasil', 'penilaian', 'dan', 'prestasi', 'serta', 'kinerja', 'personil', 'itu', 'sendiri', 'yang', 'telah', 'dengan', 'sungguhsungguh', 'mengabdikan', 'dirinya', 'kepada', 'insitusi', 'polri']",<FreqDist with 25 samples and 26 outcomes>,"['kenaikan', 'pangkat', 'pengabdian', 'keharusan', 'hasil', 'penilaian', 'prestasi', 'kinerja', 'personil', 'sungguhsungguh', 'mengabdikan', 'insitusi', 'polri']","['naik', 'pangkat', 'abdi', 'harus', 'hasil', 'nilai', 'prestasi', 'kerja', 'personil', 'sungguhsungguh', 'abdi', 'insitusi', 'polri']"
4,4,1587042697302642688,2022-10-31 11:23:59+00:00,kenaikan pangkat pengabdian bukan merupakan keharusan namun merupakan hasil penilaian dan prestasi serta kinerja personil itu sendiri yang telah dengan sungguhsungguh mengabdikan dirinya kepada insitusi polri,"['kenaikan', 'pangkat', 'pengabdian', 'bukan', 'merupakan', 'keharusan', 'namun', 'merupakan', 'hasil', 'penilaian', 'dan', 'prestasi', 'serta', 'kinerja', 'personil', 'itu', 'sendiri', 'yang', 'telah', 'dengan', 'sungguhsungguh', 'mengabdikan', 'dirinya', 'kepada', 'insitusi', 'polri']",<FreqDist with 25 samples and 26 outcomes>,"['kenaikan', 'pangkat', 'pengabdian', 'keharusan', 'hasil', 'penilaian', 'prestasi', 'kinerja', 'personil', 'sungguhsungguh', 'mengabdikan', 'insitusi', 'polri']","['naik', 'pangkat', 'abdi', 'harus', 'hasil', 'nilai', 'prestasi', 'kerja', 'personil', 'sungguhsungguh', 'abdi', 'insitusi', 'polri']"
5,5,1587035768098168832,2022-10-31 10:56:27+00:00,setuju dengan apa yg dikatakan oleh pak bahwasanya masyarakat harus layani dengan sungguhsungguh serta bekerja dengan se transparan mungkin agar masyarakat bisa melihat langsung kinerja dari kepolisian,"['setuju', 'dengan', 'apa', 'yg', 'dikatakan', 'oleh', 'pak', 'bahwasanya', 'masyarakat', 'harus', 'layani', 'dengan', 'sungguhsungguh', 'serta', 'bekerja', 'dengan', 'se', 'transparan', 'mungkin', 'agar', 'masyarakat', 'bisa', 'melihat', 'langsung', 'kinerja', 'dari', 'kepolisian']",<FreqDist with 24 samples and 27 outcomes>,"['setuju', 'masyarakat', 'layani', 'sungguhsungguh', 'transparan', 'masyarakat', 'kinerja', 'kepolisian']","['tuju', 'masyarakat', 'layan', 'sungguhsungguh', 'transparan', 'masyarakat', 'kerja', 'polisi']"
6,6,1587035291206168577,2022-10-31 10:54:33+00:00,apresiasi untuk pak kapolri hasil dari perbaikan citra dan kinerja polri akan masy rasakan mgkn tdk hny hari ini tp ke dpnnya di sgla aspek dan layanan masy sehat terus pak kapolri amp jajaranya dmnpun brda masy rindu polisi yg dsyangi dg tekad bersama rkyat polri kuat,"['apresiasi', 'untuk', 'pak', 'kapolri', 'hasil', 'dari', 'perbaikan', 'citra', 'dan', 'kinerja', 'polri', 'akan', 'masy', 'rasakan', 'mgkn', 'tdk', 'hny', 'hari', 'ini', 'tp', 'ke', 'dpnnya', 'di', 'sgla', 'aspek', 'dan', 'layanan', 'masy', 'sehat', 'terus', 'pak', 'kapolri', 'amp', 'jajaranya', 'dmnpun', 'brda', 'masy', 'rindu', 'polisi', 'yg', 'dsyangi', 'dg', 'tekad', 'bersama', 'rkyat', 'polri', 'kuat']",<FreqDist with 41 samples and 47 outcomes>,"['apresiasi', 'kapolri', 'hasil', 'perbaikan', 'citra', 'kinerja', 'polri', 'masy', 'rasakan', 'mgkn', 'dpnnya', 'sgla', 'aspek', 'layanan', 'masy', 'sehat', 'kapolri', 'jajaranya', 'dmnpun', 'brda', 'masy', 'rindu', 'polisi', 'dsyangi', 'tekad', 'rkyat', 'polri', 'kuat']","['apresiasi', 'kapolri', 'hasil', 'baik', 'citra', 'kerja', 'polri', 'masy', 'rasa', 'mgkn', 'dpnnya', 'sgla', 'aspek', 'layan', 'masy', 'sehat', 'kapolri', 'jajaranya', 'dmnpun', 'brda', 'masy', 'rindu', 'polisi', 'dsyangi', 'tekad', 'rkyat', 'polri', 'kuat']"
7,7,1587022316277407744,2022-10-31 10:03:00+00:00,pak jendral memberikan himbauan ini guna memperbaiki kinerja kepolisiaan agar lebih baik bravo polri,"['pak', 'jendral', 'memberikan', 'himbauan', 'ini', 'guna', 'memperbaiki', 'kinerja', 'kepolisiaan', 'agar', 'lebih', 'baik', 'bravo', 'polri']",<FreqDist with 14 samples and 14 outcomes>,"['jendral', 'himbauan', 'memperbaiki', 'kinerja', 'kepolisiaan', 'bravo', 'polri']","['jendral', 'himbauan', 'baik', 'kerja', 'kepolisiaan', 'bravo', 'polri']"
8,8,1587014458744147968,2022-10-31 09:31:46+00:00,giat tim audit kinerja itwasda polda sulsel tahap ii aspek pelaksanaan dan pengendalian ta polres torut yang dipimpin oleh auditor kepolisian madya tk iii itwasa polda sulsel kombes pol raspani sik selaku pengawas tim didampingi ketua tim,"['giat', 'tim', 'audit', 'kinerja', 'itwasda', 'polda', 'sulsel', 'tahap', 'ii', 'aspek', 'pelaksanaan', 'dan', 'pengendalian', 'ta', 'polres', 'torut', 'yang', 'dipimpin', 'oleh', 'auditor', 'kepolisian', 'madya', 'tk', 'iii', 'itwasa', 'polda', 'sulsel', 'kombes', 'pol', 'raspani', 'sik', 'selaku', 'pengawas', 'tim', 'didampingi', 'ketua', 'tim']",<FreqDist with 33 samples and 37 outcomes>,"['giat', 'tim', 'audit', 'kinerja', 'itwasda', 'polda', 'sulsel', 'tahap', 'aspek', 'pelaksanaan', 'pengendalian', 'polres', 'torut', 'dipimpin', 'auditor', 'kepolisian', 'madya', 'tk', 'iii', 'itwasa', 'polda', 'sulsel', 'kombes', 'raspani', 'pengawas', 'tim', 'didampingi', 'ketua', 'tim']","['giat', 'tim', 'audit', 'kerja', 'itwasda', 'polda', 'sulsel', 'tahap', 'aspek', 'laksana', 'kendali', 'polres', 'torut', 'pimpin', 'auditor', 'polisi', 'madya', 'tk', 'iii', 'itwasa', 'polda', 'sulsel', 'kombes', 'raspani', 'awas', 'tim', 'damping', 'ketua', 'tim']"
9,9,1587008040242663424,2022-10-31 09:06:16+00:00,rt news update today,"['rt', 'news', 'update', 'today']",<FreqDist with 4 samples and 4 outcomes>,"['news', 'today']","['news', 'today']"
